url,name,sku,color,description,details,images1,images2,images3,images4,images5,category0,category1,image-flag
https://ppeci.com/index.php/products/detail/svhs-connector1,SVHS Connector,MD-SVHS-P65,,SVHS Plug (M) Solder Type Assembly. Teflon (High Temp) Insulation.,ID = 6.5mm,http://ppeci.com/images/uploads/products/MD-SVHS-P65.jpg,http://ppeci.com/images/uploads/products/MD-SVHS-P65%282%29.jpg,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/MD-SVHS-P65.jpg', 'http://ppeci.com/images/uploads/products/MD-SVHS-P65%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/svhs-connector1,SVHS Connector,MD-SVHS-P65,,SVHS Plug (M) Solder Type Assembly. Teflon (High Temp) Insulation.,ID = 6.5mm,http://ppeci.com/images/uploads/products/MD-SVHS-P65.jpg,http://ppeci.com/images/uploads/products/MD-SVHS-P65%282%29.jpg,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/MD-SVHS-P65.jpg', 'http://ppeci.com/images/uploads/products/MD-SVHS-P65%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/fiber-audio-adaptor7,Toslink Cable,FOP-AUD-1,,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).",,http://ppeci.com/images/uploads/products/FOP-AUD-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUD-1.jpg', '']"
https://ppeci.com/index.php/products/detail/fiber-audio-adaptor8,Toslink Cable,FOP-AUD2-1,,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).",Toslink to Toslink,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-black,"Toslink Cable, Black",FOP-AUDT2-01,Black,,1 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-black1,"Toslink Cable, Black",FOP-AUDT2-02,Black,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",2 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-black2,"Toslink Cable, Black",FOP-AUDT2-03,Black,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",3 M,http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-black3,"Toslink Cable, Black",FOP-AUDT2-04,Black,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",4 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-black4,"Toslink Cable, Black",FOP-AUDT2-05,Black,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",5 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-pearl-white,"Toslink Cable, Pearl White",FOP-AUDT2-01WH,Pearl White,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",1 M,http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-pearl-white1,"Toslink Cable, Pearl White",FOP-AUDT2-02WH,Pearl White,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",2 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg', '']"
https://ppeci.com/index.php/products/detail/toslink-cable-pearl-white2,"Toslink Cable, Pearl White",FOP-AUDT2-03WH,Pearl White,"Connectors meet EIAJ proposed standard RC5720.
  Simplex.
  APF (970/100um).
  OD 8.0mm",3 M.,http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg,,,,,Digital Audio,A/V Accessories,"['http://ppeci.com/images/uploads/products/FOP-AUDT2-1WH.jpg', '']"
https://ppeci.com/index.php/products/detail/solder-type-dvi-connector,Analog Solder Type DVI Connector,DVI-17M,,Gold Plated Contacts.,Male,http://ppeci.com/images/uploads/products/DVI-17M.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-17M.jpg', '']"
https://ppeci.com/index.php/products/detail/digital-solder-type-dvi-connector,Digital Solder Type DVI Connector,DVI-19M,,Gold Plated Contacts,"Male, Single Link",http://ppeci.com/images/uploads/products/DVI-19M.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-19M.jpg', '']"
https://ppeci.com/index.php/products/detail/digital-solder-type-dvi-connector1,Digital Solder Type DVI Connector,DVI-25M,,Gold Plated Contacts,"Male, Dual Link",http://ppeci.com/images/uploads/products/DVI-25M.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-25M.jpg', '']"
https://ppeci.com/index.php/products/detail/digital-solder-type-dvi-connector2,Digital Solder Type DVI Connector,DVI-25F,,Gold Plated Contacts,"Female, Dual Link",http://ppeci.com/images/uploads/products/DVI-25F.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-25F.jpg', '']"
https://ppeci.com/index.php/products/detail/dvi-connector,DVI Connector,DVI-23M,,Gold Plated Contacts.,"Male, Single Link",http://ppeci.com/images/uploads/products/DVI-23M.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-23M.jpg', '']"
https://ppeci.com/index.php/products/detail/dvi-connector1,DVI Connector,DVI-29M,,Gold Plated Contacts.,"Male, Dual Link",http://ppeci.com/images/uploads/products/DVI-29M.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-29M.jpg', '']"
https://ppeci.com/index.php/products/detail/dvi-connector2,DVI Connector,DVI-29F,,Gold Plated Contacts.,"Female, Dual Link",http://ppeci.com/images/uploads/products/DVI-29F.jpg,,,,,DVI Solder Type,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/DVI-29F.jpg', '']"
https://ppeci.com/index.php/products/detail/hdmi-connector,HDMI Connector,HDI-19P-SR,,"Gold Plated Contacts.
  Solder Type.",19 Pin Female  90 Degree  **NEW**,http://ppeci.com/images/uploads/products/HDI-19P-SR.jpg,,,,,HDMI Kit,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/HDI-19P-SR.jpg', '']"
https://ppeci.com/index.php/products/detail/hdmi-kit,HDMI Kit,HDI-19P-KIT,,"Gold Plated Contacts.
  Solder Type.",,http://ppeci.com/images/uploads/products/HDI-19P-KIT.jpg,,,,,HDMI Kit,"DVI, HDMI, D-Sub Connectors","['http://ppeci.com/images/uploads/products/HDI-19P-KIT.jpg', '']"
https://ppeci.com/index.php/products/detail/compact-10-100-switch,Compact 10/100 Switch,SWH-110-5,,"Complaint with IEEE 802.3, 802.3u and 802.3x standards.
 5 or 8 auto-sensing 10/100Mbs Ethernet RJ-45 ports.
 Auto MDI/MDIX crossover for all pots.
 Store-and-forward switching architecture.
 Auto-detect of full/half duplex mode in all ports.
 Back-pressure for half-duplex, pause frame for full-duplex.
 Compact Dimensions: 110mm x 70mm x 19mm (LxWxH).
 Plug-and-play configuration auto addresses learning.
 Embedded 4K entry MAC address table.
 128kb memory buffer sharing.
 LED-indicators for Power, Link/Activity, 100Mbs.
 Broadcast storm protection.
 Space-saving compact size: 4.3 inches (compact).","10/100 Switch 5 Ports, Compact.",http://ppeci.com/images/uploads/products/SWH-110-5%281%29.jpg,http://ppeci.com/images/uploads/products/SWH-110-5%282%29.jpg,http://ppeci.com/images/uploads/products/SWH-110-5%28a%29.jpg,,,Compact 10/100 Switches,Switches & Hubs,"['http://ppeci.com/images/uploads/products/SWH-110-5%281%29.jpg', 'http://ppeci.com/images/uploads/products/SWH-110-5%282%29.jpg', 'http://ppeci.com/images/uploads/products/SWH-110-5%28a%29.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body,F Assembly Body,RBC-A165PW,Pearl White,,​Pearl White,http://ppeci.com/images/uploads/products/RBC-A165PW.jpg,,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/RBC-A165PW.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body,F Assembly Body,RBC-A165PW,Pearl White,,​Pearl White,http://ppeci.com/images/uploads/products/RBC-A165PW.jpg,,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/RBC-A165PW.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body1,F Assembly Body,RBC-A175,Metal Grey,,​Metal Grey,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body1,F Assembly Body,RBC-A175,Metal Grey,,​Metal Grey,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body2,F Assembly Body,RBC-A175PW,Pearl White,,Pearl White,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg', 'http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body2,F Assembly Body,RBC-A175PW,Pearl White,,Pearl White,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg', 'http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body3,F Assembly Body,RBC-A180,Metal Grey,,Metal Grey,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body3,F Assembly Body,RBC-A180,Metal Grey,,Metal Grey,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body4,F Assembly Body,RBC-A180PW,Pearl White,,Pearl White,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg', 'http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/f-assembly-body4,F Assembly Body,RBC-A180PW,Pearl White,,Pearl White,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg,http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%281%29.jpg', 'http://ppeci.com/images/uploads/products/RBC-A%28XXX%29PW%282%29.jpg', '']"
https://ppeci.com/index.php/products/detail/vga-bulk-cable3,VGA Bulk Cable,MCC-VKMZ-250,,"VKM ZIP Cable, 250 ft.","VKM ZIP Cable, 250 ft.",http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Bulk UL2464,Computer Cable Assemblies,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/audio-video-selector1,Audio/Video Selector,ABM-BNC-2,,,"2 BNC Female In, 1 Out",http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Specialty Switch Boxes,Data Switch Boxes,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/audio-video-selector2,Audio/Video Selector,ABM-BNC-3,,,"3 BNC Female In, 1 Out",http://ppeci.com/images/uploads/products/ABM-BNC-3.jpg,,,,,Specialty Switch Boxes,Data Switch Boxes,"['http://ppeci.com/images/uploads/products/ABM-BNC-3.jpg', '']"
https://ppeci.com/index.php/products/detail/audio-video-selector3,Audio/Video Selector,ABM-BNC-4,,,"4 BNC Female In, 1 Out",http://ppeci.com/images/uploads/products/ABM-BNC-4.jpg,,,,,Specialty Switch Boxes,Data Switch Boxes,"['http://ppeci.com/images/uploads/products/ABM-BNC-4.jpg', '']"
https://ppeci.com/index.php/products/detail/x-series-rack-plate,X Series Rack Plate,WRP-X-24,,,"19” 24 Port, Unloaded RoHS",http://ppeci.com/images/uploads/products/WRP-X-24.jpg,,,,,X Series Rack Plate,"19"" Rack Mount Panels","['http://ppeci.com/images/uploads/products/WRP-X-24.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord,Shielded Patch Cord,DCS-5E8P-01GRMB,Gray,"Fully Shielded RJ-45 Plug
Molded with Snagless Boot
All cables are made to ISO standard (European Shielded Standard).
Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",1 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord1,Shielded Patch Cord,DCS-5E8P-02GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",2 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord2,Shielded Patch Cord,DCS-5E8P-03GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",3 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord3,Shielded Patch Cord,DCS-5E8P-04GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",4 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord4,Shielded Patch Cord,DCS-5E8P-05GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",5 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord5,Shielded Patch Cord,DCS-5E8P-06GRMB,,"Fully Shielded RJ-45 Plug
  Molded with Snagless Boot
  All cables are made to ISO standard (European Shielded Standard).
  Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",6 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord6,Shielded Patch Cord,DCS-5E8P-07GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",7 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord7,Shielded Patch Cord,DCS-5E8P-10GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",10 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord8,Shielded Patch Cord,DCS-5E8P-15GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",15 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/shielded-patch-cord9,Shielded Patch Cord,DCS-5E8P-20GRMB,,"Fully Shielded RJ-45 Plug
 Molded with Snagless Boot
 All cables are made to ISO standard (European Shielded Standard).
 Stranded with 26 AWG twisted pair conductors.26 AWG twisted pair conductors. Verified to EIA/TIA 568A TSB-40A Category 5.",20 ft.,http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg,,,,,Shielded Patch Cords,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8P-20GRMB.jpg', '']"
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable,Enhanced Cat 5 Solid 24 AWG Cable,DCS-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Blue,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Shielded (FTP) Cat 5e Cable,Patch Cords,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable,Enhanced Cat 5 Solid 24 AWG Cable,DCS-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Blue,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Solid,Cat 5e,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable1,Enhanced Cat 5 Solid 24 AWG Cable,DCS-5E8GR-1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Gray,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Shielded (FTP) Cat 5e Cable,Patch Cords,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable1,Enhanced Cat 5 Solid 24 AWG Cable,DCS-5E8GR-1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Gray,http://ppeci.com/images/uploads/products/ICS_400.jpg,,,,,Solid,Cat 5e,"['http://ppeci.com/images/uploads/products/ICS_400.jpg', '']"
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable2,Enhanced Cat 5 Solid 24 AWG Cable,DCS-5E8YW-1000L,Yellow,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Yellow,http://ppeci.com/images/uploads/products/DCS-5E8YW1000L.jpg,,,,,Shielded (FTP) Cat 5e Cable,Patch Cords,"['http://ppeci.com/images/uploads/products/DCS-5E8YW1000L.jpg', '']"
