url,sku,color,description,details
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel2,110-PP-2466U,,"All patch panels will mount on 19” Standard EIA Racks.
  Gold plated modular jack contacts.
  110 Termination.
  Standard Wiring: USOC Wiring on RJ-25 (6p6c).All patch panels will mount on 19” Standard EIA Racks.  Gold plated modular jack contacts.  110 Termination.  Standard Wiring: USOC Wiring on RJ-25 (6p6c).","24 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel3,110-PP-3266U,,"All patch panels will mount on 19” Standard EIA Racks.
  Gold plated modular jack contacts.
  110 Termination.
  Standard Wiring: USOC Wiring on RJ-25 (6p6c).All patch panels will mount on 19” Standard EIA Racks.  Gold plated modular jack contacts.  110 Termination.  Standard Wiring: USOC Wiring on RJ-25 (6p6c).","32 Ports, 2U"
,,,,
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel4,110-PP-4866U,,"All patch panels will mount on 19” Standard EIA Racks.
  Gold plated modular jack contacts.
  110 Termination.
  Standard Wiring: USOC Wiring on RJ-25 (6p6c).All patch panels will mount on 19” Standard EIA Racks.  Gold plated modular jack contacts.  110 Termination.  Standard Wiring: USOC Wiring on RJ-25 (6p6c).","48 Ports, 2U"
,,,,
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel5,110-PP-9666U,,"All patch panels will mount on 19” Standard EIA Racks.
  Gold plated modular jack contacts.
  110 Termination.
  Standard Wiring: USOC Wiring on RJ-25 (6p6c).All patch panels will mount on 19” Standard EIA Racks.  Gold plated modular jack contacts.  110 Termination.  Standard Wiring: USOC Wiring on RJ-25 (6p6c).","96 Ports, 4U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination-l-type-patch-panel,110-PP5E-248L,,"Standard spacing for mounting on 19” EIA standard racks.
 Gold plated modular jack contacts.
 110 Termination, clear caps and nylon wire guide included.
 Wiring: Coded for both 568A and 568B codes.Standard spacing for mounting on 19” EIA standard racks. Gold plated modular jack contacts. 110 Termination, clear caps and nylon wire guide included. Wiring: Coded for both 568A and 568B codes.","RJ45 24 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination-l-type-patch-panel1,110-PP5E-488L,,"Standard spacing for mounting on 19” EIA standard racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Coded for both 568A and 568B codes.Standard spacing for mounting on 19” EIA standard racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Coded for both 568A and 568B codes.","RJ45 48 Ports, 2U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination,110-PP5E-128,,"Standard spacing for mountingon 19” EIA Standard Racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Color coded for both 568A and 568B codes.Standard spacing for mountingon 19” EIA Standard Racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Color coded for both 568A and 568B codes.","RJ45 12 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination1,110-PP5E-168,,"Standard spacing for mountingon 19” EIA Standard Racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Color coded for both 568A and 568B codes.Standard spacing for mountingon 19” EIA Standard Racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Color coded for both 568A and 568B codes.","RJ45 16 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination-patch-panel,110-PP5E-248,,"Standard spacing for mountingon 19” EIA Standard Racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Color coded for both 568A and 568B codes.Standard spacing for mountingon 19” EIA Standard Racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Color coded for both 568A and 568B codes.","RJ45 24 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination-patch-panel1,110-PP5E-328,,"Standard spacing for mountingon 19” EIA Standard Racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Color coded for both 568A and 568B codes.Standard spacing for mountingon 19” EIA Standard Racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Color coded for both 568A and 568B codes.","RJ45 32 Ports, 2U"
,,,,
https://ppeci.com/index.php/products/detail/cat-5-enhanced-110-termination-patch-panel3,110-PP5E-968,,"Standard spacing for mountingon 19” EIA Standard Racks.
  Gold plated modular jack contacts.
  110 Termination, clear caps and nylon wire guide included.
  Wiring: Color coded for both 568A and 568B codes.Standard spacing for mountingon 19” EIA Standard Racks.  Gold plated modular jack contacts.  110 Termination, clear caps and nylon wire guide included.  Wiring: Color coded for both 568A and 568B codes.","RJ45 96 Ports, 4U"
,,,,
https://ppeci.com/index.php/products/detail/cat-6-110-termination,110-PP6-128,,"Standard Spacing for Mounting on 19” EIA Standard Racks.
  110 Terminals.
  Gold plated modular jack contacts.
  Wiring: color coded for both 568A and 568B Codes.Standard Spacing for Mounting on 19” EIA Standard Racks.  110 Terminals.  Gold plated modular jack contacts.  Wiring: color coded for both 568A and 568B Codes.","12 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-6-110-termination1,110-PP6-248,,"Standard Spacing for Mounting on 19” EIA Standard Racks.
  110 Terminals.
  Gold plated modular jack contacts.
  Wiring: color coded for both 568A and 568B Codes.Standard Spacing for Mounting on 19” EIA Standard Racks.  110 Terminals.  Gold plated modular jack contacts.  Wiring: color coded for both 568A and 568B Codes.","24 Ports, 1U"
,,,,
https://ppeci.com/index.php/products/detail/cat-6-110-termination2,110-PP6-488,,"Standard Spacing for Mounting on 19” EIA Standard Racks.
  110 Terminals.
  Gold plated modular jack contacts.
  Wiring: color coded for both 568A and 568B Codes.Standard Spacing for Mounting on 19” EIA Standard Racks.  110 Terminals.  Gold plated modular jack contacts.  Wiring: color coded for both 568A and 568B Codes.","48 Ports, 2U"
,,,,
https://ppeci.com/index.php/products/detail/vertical-cat-5-enhanced-110-termination1,110-PP5E-088-89,,"Mounts on standard vertical 89 style bracket.
  Gold plated modular jack contacts.
  110 termination.
  Including clear caps and nylon wire guide.
  Wiring: Color coded for both 568A and 568B codes.Mounts on standard vertical 89 style bracket.  Gold plated modular jack contacts.  110 termination.  Including clear caps and nylon wire guide.  Wiring: Color coded for both 568A and 568B codes.","8 Ports, Bracked Included"
,,,,
https://ppeci.com/index.php/products/detail/13w3-gender-changer,AD-13W3FF,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Female to Female
,,,,
https://ppeci.com/index.php/products/detail/13w3-gender-changer1,AD-13W3MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/centronics-36-gender-changer,AD-D36FF,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Female to Female
,,,,
https://ppeci.com/index.php/products/detail/centronics-36-gender-changer2,AD-D36MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/d-sub-15-gender-changer,AD-D15FF,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Female to Female
,,,,
https://ppeci.com/index.php/products/detail/d-sub-15-gender-changer1,AD-D15MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/d-sub-25-gender-changer,AD-D25FF-A,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,"Female to Female, A-Type"
,,,,
https://ppeci.com/index.php/products/detail/d-sub-25-gender-changer3,AD-D25MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/d-sub-9-gender-changer1,AD-D9MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/hiden-15-gender-changer,AD-DH15FF,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Female to Female
,,,,
https://ppeci.com/index.php/products/detail/hiden-15-gender-changer1,AD-DH15MM,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Male to Male
,,,,
https://ppeci.com/index.php/products/detail/male-4-40-screw-gender-changer,AD-D25FF-MS,,Molded and Shielded with Hex SpacersMolded and Shielded with Hex Spacers,Female to Female
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable,DC-OCT-6P8CF-ATT,,"Gold plated telco contacts.
Male or Female Telco—both available.
Gold plated MOD plug contacts.
USOC or ATT Wiring.
Voice Grade.
Standard Length = 4 ft.
Non-standard lengths available.
Call for Quotes.Gold plated telco contacts.Male or Female Telco—both available.Gold plated MOD plug contacts.USOC or ATT Wiring.Voice Grade.Standard Length = 4 ft.Non-standard lengths available.Call for Quotes.","RJ45, 8C, 6 Modular Cords, Female"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable1,DC-OCT-6P8CM-ATT,,"Gold plated telco contacts.
 Male or Female Telco—both available.
 Gold plated MOD plug contacts.
 USOC or ATT Wiring.
 Voice Grade.
 Standard Length = 4 ft.
 Non-standard lengths available.
 Call for Quotes.Gold plated telco contacts. Male or Female Telco—both available. Gold plated MOD plug contacts. USOC or ATT Wiring. Voice Grade. Standard Length = 4 ft. Non-standard lengths available. Call for Quotes.","RJ45, 8C Plugs, 6 Modular Cords, Male"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable2,DC-OCT-6P8CF-USOC,,"Gold plated telco contacts.
 Male or Female Telco—both available.
 Gold plated MOD plug contacts.
 USOC or ATT Wiring.
 Voice Grade.
 Standard Length = 4 ft.
 Non-standard lengths available.
 Call for Quotes.Gold plated telco contacts. Male or Female Telco—both available. Gold plated MOD plug contacts. USOC or ATT Wiring. Voice Grade. Standard Length = 4 ft. Non-standard lengths available. Call for Quotes.","RJ45, 8C Plugs, 6 Modular Cords, Female"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable3,DC-OCT-6P8CM-USOC,,"Gold plated telco contacts.
 Male or Female Telco—both available.
 Gold plated MOD plug contacts.
 USOC or ATT Wiring.
 Voice Grade.
 Standard Length = 4 ft.
 Non-standard lengths available.
 Call for Quotes.Gold plated telco contacts. Male or Female Telco—both available. Gold plated MOD plug contacts. USOC or ATT Wiring. Voice Grade. Standard Length = 4 ft. Non-standard lengths available. Call for Quotes.","RJ45, 8C Plugs, 6 Modular Cords, Male"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable4,DC-OCT-8P6CF-USOC,,"Gold plated telco contacts.
  Male or Female Telco—both available.
  Gold plated MOD plug contacts.
  USOC or ATT Wiring.
  Voice Grade.
  Standard Length = 4 ft.
  Non-standard lengths available.
  Call for Quotes.Gold plated telco contacts.  Male or Female Telco—both available.  Gold plated MOD plug contacts.  USOC or ATT Wiring.  Voice Grade.  Standard Length = 4 ft.  Non-standard lengths available.  Call for Quotes.","RJ11, 6C Plugs, 8 Modular Cords, Female"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable5,DC-OCT-8P6CM-USOC,,"Gold plated telco contacts.
 Male or Female Telco—both available.
 Gold plated MOD plug contacts.
 USOC or ATT Wiring.
 Voice Grade.
 Standard Length = 4 ft.
 Non-standard lengths available.
 Call for Quotes.Gold plated telco contacts. Male or Female Telco—both available. Gold plated MOD plug contacts. USOC or ATT Wiring. Voice Grade. Standard Length = 4 ft. Non-standard lengths available. Call for Quotes.","RJ11, 6C Plugs, 8 Modular Cords, Male"
,,,,
https://ppeci.com/index.php/products/detail/octopus-cable7,DC-OCT-12P4CM-USOC,,"Gold plated telco contacts.
 Male or Female Telco—both available.
 Gold plated MOD plug contacts.
 USOC or ATT Wiring.
 Voice Grade.
 Standard Length = 4 ft.
 Non-standard lengths available.
 Call for Quotes.Gold plated telco contacts. Male or Female Telco—both available. Gold plated MOD plug contacts. USOC or ATT Wiring. Voice Grade. Standard Length = 4 ft. Non-standard lengths available. Call for Quotes.","RJ11, 4C Plugs, 12 Modular Cords, Male"
,,,,
https://ppeci.com/index.php/products/detail/top-entry-shielded-pcb-modular-jack,PTS-J259-8CS-50UL,,"50u” Gold Plated contact
Thru Hole, Suggested Hole Pattern Available
Black Plastic
Metal Shielded Jack
RJ45-8P8C Jack50u” Gold Plated contactThru Hole, Suggested Hole Pattern AvailableBlack PlasticMetal Shielded JackRJ45-8P8C Jack",
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable,DC-568-BG-1000L,Beige,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation.  Beige
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable1,DC-568-BK-1000L,Black,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation.  Black
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable2,DC-568-BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Blue
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable3,DC-568-GN-1000L,Green,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Green
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable4,DC-568-GR-1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Gray
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable5,DC-568-OR-1000L,Orange,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Orange
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable6,DC-568-PK-1000L,Pink,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Pink
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable7,DC-568-RD-1000L,Red,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Red
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable8,DC-568-VL-1000L,Violet,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Violet
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable9,DC-568-WH-1000L,White,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. White
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable,DCS-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50ULAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Blue
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable1,DCS-5E8GR-1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50ULAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Gray
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable4,DC-5E8BK-1000L,Black,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Black
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable5,DC-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Blue
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable6,DC-5E8GN-1000L,Green,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Green
,,,,
